,Formula,Num_Runs,Run_Names,Avg_Score
4802,C30H54O13S,5,"bigmed, large, large, med, tiny",73.62
15314,C9H19N3O4,5,"bigmed, large, large, med, tiny",72.562
4726,C30H50NO7P,5,"bigmed, large, large, med, tiny",54.976
21,C10H13N3O2,5,"bigmed, large, large, med, tiny",82.422
7945,C42H71NO6,5,"bigmed, large, large, med, tiny",74.114
4784,C30H53NO8,5,"bigmed, large, large, large, tiny",58.31
8538,C44H75NO8,5,"bigmed, large, large, med, tiny",66.51599999999999
1125,C16H30O2,5,"bigmed, large, large, med, tiny",76.088
4255,C28H53NO7,5,"bigmed, large, large, med, tiny",72.912
8933,C45H81O7P,5,"bigmed, large, large, med, tiny",64.134
4271,C28H55N2O7P,5,"bigmed, large, large, med, tiny",72.854
1893,C20H28O3,5,"bigmed, large, large, med, tiny",66.324
1842,C20H24O2,5,"bigmed, large, large, med, tiny",79.50399999999999
4297,C28H57O9P,5,"bigmed, large, large, med, tiny",67.346
9115,C46H74O10,5,"bigmed, large, large, med, tiny",65.432
7641,C41H66O6,5,"bigmed, large, large, med, tiny",62.358000000000004
5808,C34H56O5,5,"bigmed, large, large, large, tiny",60.403999999999996
9077,C46H70NO8P,5,"bigmed, large, large, med, tiny",57.55
15169,C8H18O3,5,"bigmed, large, large, med, tiny",82.902
4399,C29H45NO5,5,"bigmed, large, large, med, tiny",67.838
7663,C41H68O9,5,"bigmed, large, large, med, tiny",61.262
7666,C41H69NO6,5,"bigmed, large, large, med, tiny",69.236
4864,C30H59N2O7P,5,"bigmed, large, large, med, tiny",70.588
8568,C44H77NO9,5,"bigmed, large, large, med, tiny",75.498
8863,C45H77NO8,5,"bigmed, large, large, med, tiny",61.05
1121,C16H30N6O6,5,"bigmed, large, large, med, tiny",64.088
7703,C41H71NO9,5,"bigmed, large, large, med, tiny",62.96600000000001
542,C13H22O2,5,"bigmed, large, large, med, tiny",75.65599999999999
8802,C45H72NO7P,5,"bigmed, large, large, med, tiny",65.19800000000001
1124,C16H30O,5,"bigmed, large, large, med, tiny",83.86800000000001
6034,C35H54O4,5,"bigmed, large, large, med, tiny",68.104
1172,C16H35NO2,5,"bigmed, large, large, med, tiny",96.652
8739,C44H89O7P,5,"bigmed, large, large, med, tiny",60.82000000000001
8622,C44H80O12S,5,"bigmed, large, large, med, tiny",59.79
556,C13H23NO6,5,"bigmed, large, large, med, tiny",66.522
4533,C29H54O10,5,"bigmed, large, large, med, tiny",78.55199999999999
3366,C25H48O4,5,"bigmed, large, large, med, tiny",80.22200000000001
10195,C4H9NO4,5,"bigmed, large, large, med, tiny",82.808
746,C14H28,5,"bigmed, large, large, med, tiny",98.274
1366,C18H18O5,5,"bigmed, large, large, med, tiny",91.24600000000001
264,C11H21NO5,5,"bigmed, large, large, med, tiny",75.43199999999999
900,C15H26N6O4,5,"bigmed, large, large, large, large",62.532
12402,C59H113O13P,5,"bigmed, large, large, med, tiny",64.648
12390,C59H112O15,5,"bigmed, large, large, med, tiny",82.262
12308,C58H98O6,5,"bigmed, large, large, med, tiny",53.00600000000001
6877,C38H64O9,5,"bigmed, large, large, med, tiny",72.6
6881,C38H65NO3,5,"large, large, large, med, tiny",62.374
6477,C36H70NO9P,5,"bigmed, large, large, med, tiny",68.682
1513,C18H32O,5,"bigmed, large, large, med, tiny",92.74600000000001
2269,C21H38O2,5,"bigmed, large, large, med, tiny",65.74
1379,C18H20O4,5,"bigmed, large, large, med, tiny",72.986
12001,C57H111O13P,5,"bigmed, large, large, med, tiny",60.952
6296,C36H56O4,5,"bigmed, large, large, med, tiny",60.724000000000004
11989,C57H110O13S,5,"bigmed, large, large, med, tiny",67.556
2452,C22H34O5,5,"bigmed, large, large, med, tiny",64.39200000000001
2217,C21H34O5S,5,"bigmed, large, large, med, tiny",73.03
13802,C68H121O13P,5,"bigmed, large, large, med, tiny",75.444
6910,C38H67NO9,5,"bigmed, large, large, med, tiny",62.69199999999999
2949,C24H38O4,5,"bigmed, large, large, med, tiny",86.352
1038,C16H22O4,5,"bigmed, large, large, med, tiny",85.958
2020,C20H38O,5,"bigmed, large, large, med, tiny",87.3
13886,C69H107NO9,5,"bigmed, large, large, med, tiny",64.392
12757,C61H111O13P,5,"bigmed, large, large, med, tiny",71.174
6585,C37H60NO6P,5,"bigmed, large, large, med, tiny",77.098
12912,C62H112NO8P,5,"bigmed, large, large, med, tiny",70.922
2433,C22H32O8,5,"bigmed, large, large, med, tiny",79.928
6609,C37H62NO6P,5,"large, large, large, med, tiny",60.69199999999999
2432,C22H32O6,5,"bigmed, large, large, med, tiny",77.122
6619,C37H63N2O6P,5,"bigmed, large, large, med, tiny",77.15599999999999
120,C10H21N5O4,5,"bigmed, large, large, med, tiny",69.274
6571,C37H58O5,5,"bigmed, large, large, med, tiny",70.41600000000001
6648,C37H65N2O6P,5,"large, large, large, med, tiny",58.036
811,C15H18N2,5,"bigmed, large, large, med, tiny",70.022
6570,C37H58O4,5,"bigmed, large, large, med, tiny",66.782
2545,C22H42O4,5,"bigmed, large, large, med, tiny",86.828
6715,C37H70NO7P,5,"bigmed, large, large, large, large",63.30800000000001
6716,C37H70NO9P,5,"bigmed, large, large, med, tiny",56.48199999999999
12532,C5H8O3,5,"large, large, large, med, tiny",82.582
5679,C33H65NO3,5,"bigmed, large, large, med, tiny",76.15599999999999
1312,C17H33NO5,5,"bigmed, large, large, med, tiny",62.644000000000005
