Formula,Runs,Avg_Mass,Avg_RT,Avg_Score,Occurrence_Count,Run_Names,Num_Runs
C5H5N5,"['bigmed', 'large', 'med', 'tiny']",135.0544,20.66525,93.96,4,"bigmed, large, med, tiny",4
C5H4N4,"['bigmed', 'large', 'med', 'tiny']",120.04365,10.121,99.2975,4,"bigmed, large, med, tiny",4
C5H11NO4,"['bigmed', 'large', 'med', 'tiny']",149.06802499999998,14.26125,75.83,4,"bigmed, large, med, tiny",4
C55H89NO7,"['bigmed', 'large', 'med', 'tiny']",875.664775,20.022750000000002,57.8875,4,"bigmed, large, med, tiny",4
C55H108O10,"['bigmed', 'large', 'med', 'tiny']",928.793825,15.41825,54.4225,4,"bigmed, large, med, tiny",4
C34H69NO3,"['bigmed', 'large', 'med', 'tiny']",539.52535,15.4635,72.9725,4,"bigmed, large, med, tiny",4
C51H83O9P,"['bigmed', 'large', 'med', 'tiny']",870.57555,13.67025,56.5225,4,"bigmed, large, med, tiny",4
C51H81O9P,"['large', 'large', 'med', 'tiny']",868.563075,16.515,59.1,4,"large, large, med, tiny",4
C51H74O4,"['large', 'large', 'med', 'tiny']",750.5561,19.424500000000002,66.24,4,"large, large, med, tiny",4
C50H90NO9P,"['bigmed', 'large', 'med', 'tiny']",879.636575,16.8925,58.06,4,"bigmed, large, med, tiny",4
C50H86NO12P,"['bigmed', 'large', 'med', 'tiny']",923.58565,11.83825,61.4,4,"bigmed, large, med, tiny",4
C50H82O4,"['large', 'large', 'large', 'tiny']",746.621925,18.44975,62.419999999999995,4,"large, large, large, tiny",4
C50H79O9P,"['bigmed', 'large', 'med', 'tiny']",854.545175,17.43825,58.1325,4,"bigmed, large, med, tiny",4
C50H72O4,"['bigmed', 'large', 'med', 'tiny']",736.5404,20.198,58.6075,4,"bigmed, large, med, tiny",4
C4H8N2O,"['bigmed', 'large', 'med', 'tiny']",100.063625,15.83375,99.2025,4,"bigmed, large, med, tiny",4
C4H7NS2,"['bigmed', 'large', 'med', 'tiny']",133.0014,1.31425,66.6625,4,"bigmed, large, med, tiny",4
C4H6O4,"['bigmed', 'large', 'large', 'med']",118.027625,20.638,80.5975,4,"bigmed, large, large, med",4
C4H6O2S2,"['bigmed', 'large', 'med', 'tiny']",149.9809,7.1465,65.31,4,"bigmed, large, med, tiny",4
C49H95O9P,"['bigmed', 'large', 'large', 'tiny']",858.669275,20.22925,54.4875,4,"bigmed, large, large, tiny",4
C49H95O10P,"['bigmed', 'large', 'med', 'tiny']",874.661025,19.78225,61.325,4,"bigmed, large, med, tiny",4
