,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,RunName
152,2879,C35H53NO7,4.619,599.3822,,FBF,93.92,FBF,tiny
153,6961,C28H46O13,4.489,590.293,,FBF,93.61,FBF,tiny
154,4918,C19H32NO11P,3.293,481.1717,,FBF,93.59,FBF,tiny
155,4438,C32H53O12P,16.03,660.3244,,FBF,93.57,FBF,tiny
156,4633,C32H57O14P,4.307,696.3492,,FBF,90.53,FBF,tiny
157,1562,C55H106O10,17.225,926.7721,,FBF,89.31,FBF,tiny
158,5328,C16H22N6O4,11.429,362.169,,FBF,89.26,FBF,tiny
159,7355,C26H36O5S,3.397,460.2295,,FBF,88.29,FBF,tiny
160,5441,C22H33N7O4,7.92,459.2618,,FBF,87.42,FBF,tiny
161,1495,C51H94O15,18.472,946.659,,FBF,86.44,FBF,tiny
162,7448,C23H31NO7S,3.397,465.1839,,FBF,86.05,FBF,tiny
163,493,C6H10O4S,13.301,178.0292,,FBF,85.46,FBF,tiny
164,7281,C22H38O4S,4.099,398.2496,,FBF,85.33,FBF,tiny
165,973,C22H41NO4S,4.099,415.2761,,FBF,85.33,FBF,tiny
166,2472,C59H87NO8,13.405,937.6428,,FBF,85.18,FBF,tiny
167,2190,C26H48O9,4.515,504.3295,,FBF,85.06,FBF,tiny
168,3997,C41H62NO8P,5.737,727.4242,,FBF,84.65,FBF,tiny
169,60,C8H17NO,5.763,143.1305,,FBF,84.53,FBF,tiny
170,1138,C33H54N7O17P3S,19.85,945.2521,,FBF,84.49,FBF,tiny
171,1051,C8H15NOS2,9.844,205.0606,,FBF,84.17,FBF,tiny
172,16,C8H15NO,3.397,141.1146,,FBF,84.16,FBF,tiny
173,4548,C35H69O18P3,13.899,870.3705,,FBF,84.03,FBF,tiny
174,5535,C20H29N5O4S,3.085,435.1934,,FBF,83.85,FBF,tiny
175,3751,C32H56NO8P,5.322,613.3758,,FBF,83.47,FBF,tiny
176,1061,C4H12N2,21.148,88.1007,,FBF,83.17,FBF,tiny
