,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
379,156,C4H10O3,2.648,106.0625,,FBF,86.1,FBF
380,146,C11H14N2O2,1.947,206.106,,FBF,86.06,FBF
381,4716,C21H34O5S,10.857,398.2115,,FBF,86.02,FBF
385,2689,C20H38O,15.223,294.2917,,FBF,85.92,FBF
387,4943,C26H40O6S,3.401,480.2531,,FBF,85.81,FBF
390,2846,C42H70O15P2,14.366,876.4194,,FBF,85.79,FBF
391,4589,C32H57N2O7P,4.232,612.3932,,FBF,85.75,FBF
392,539,C18H33NO,11.403,279.2561,,FBF,85.65,FBF
393,388,C19H33NO3,10.649,323.2468,,FBF,85.65,FBF
394,442,C19H36N2O3,10.675,340.2734,,FBF,85.65,FBF
395,289,C18H30O,11.403,262.2295,,FBF,85.65,FBF
397,1316,C31H46O12S,12.651,642.2723,,FBF,85.63,FBF
398,2558,C45H76NO9P,4.699,805.5258,,FBF,85.59,FBF
399,4051,C25H51NO4,10.364,429.3799,,FBF,85.54,FBF
401,570,C6H12O3,4.489,132.0786,,FBF,99.94,FBF
418,610,C27H50O3,9.973,422.376,,FBF,99.64,FBF
419,832,C27H53NO3,9.973,439.4025,,FBF,99.64,FBF
420,525,C8H14O4,1.501,174.0891,,FBF,99.62,FBF
427,6331,C12H10O2S,6.776,218.0402,,FBF,99.5,FBF
430,8314,C25H34O3,7.634,382.2507,,FBF,99.47,FBF
431,1463,C18H36,10.155,252.2812,,FBF,99.45,FBF
432,1180,C18H39N,10.155,269.3081,,FBF,99.45,FBF
434,1261,C28H54O4,17.536,454.4024,,FBF,99.38,FBF
442,6831,C28H57NO4,17.536,471.4289,,FBF,99.31,FBF
443,1244,C14H23NO6,7.997,301.1528,,FBF,99.26,FBF
444,6264,C9H14O3,7.478,170.094,,FBF,99.25,FBF
445,8315,C25H32O3,7.036,380.2348,,FBF,99.22,FBF
447,684,C13H22O2,13.092,210.162,,FBF,99.19,FBF
453,7696,C26H34O6,7.945,442.2355,,FBF,99.06,FBF
455,833,C29H57NO3,11.143,467.4333,,FBF,99.05,FBF
458,816,C14H25NO5,8.335,287.1734,,FBF,99.04,FBF
459,5919,C15H28N6O7,7.27,404.202,,FBF,99.04,FBF
461,723,C9H16O2,7.945,156.1147,,FBF,98.94,FBF
462,621,C29H54O3,11.143,450.4068,,FBF,98.9,FBF
463,6274,C10H22O6,0.41,238.1416,,FBF,98.9,FBF
464,4925,C46H88O15P2,4.957,942.5605,,FBF,98.87,FBF
465,1458,C32H64,16.626,448.5012,,FBF,98.81,FBF
470,6639,C36H71NO2,13.56,549.5477,,FBF,98.68,FBF
471,840,C19H39NO,14.911,297.3028,,FBF,98.6,FBF
472,3388,C16H24O6,7.504,312.1576,,FBF,98.57,FBF
473,74,C16H27NO6,7.504,329.184,,FBF,98.57,FBF
474,1211,C14H25NO4,6.88,271.1786,,FBF,98.55,FBF
476,540,C26H50O4,17.536,426.3716,,FBF,98.47,FBF
478,843,C20H39NO,13.742,309.303,,FBF,98.43,FBF
