index,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Source_Key,Common_names
1135,1138,C33H54N7O17P3S,19.85,945.2521,,FBF,84.49,FBF,tiny,"['S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (3Z,6Z)-dodeca-3,6-dienethioate', 'S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (2E,6Z)-dodeca-2,6-dienethioate', '[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-2-[[[[(3R)-4-[[3-(2-dodecanoylsulfanylethylamino)-3-oxopropyl]amino]-3-hydroxy-2,2-dimethyl-4-oxobutoxy]-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-4-hydroxyoxolan-3-yl] phosphate', 'S-[2-[3-[[(2R)-4-[[[(2R,3R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (2E,5Z)-dodeca-2,5-dienethioate', 'S-[2-[3-[[4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (3Z,6Z)-dodeca-3,6-dienethioate']"
1048,1051,C8H15NOS2,9.844,205.0606,,FBF,84.17,FBF,tiny,"['5-(dithiolan-3-yl)pentanamide', '1-isothiocyanato-6-methylsulfinylhexane', '5-[(3R)-dithiolan-3-yl]pentanamide', '1-isothiocyanato-6-[(S)-methylsulfinyl]hexane', '1-isothiocyanato-6-[(R)-methylsulfinyl]hexane']"
15,16,C8H15NO,3.397,141.1146,,FBF,84.16,FBF,tiny,"['(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-ol', '1-piperidin-2-ylpropan-2-one', '8-methyl-8-azabicyclo[3.2.1]octan-3-ol', 'N-cyclohexylacetamide', '1-[(2R)-1-methylpyrrolidin-2-yl]propan-2-one']"
4545,4548,C35H69O18P3,13.899,870.3705,,FBF,84.03,FBF,tiny,[]
5532,5535,C20H29N5O4S,3.085,435.1934,,FBF,83.85,FBF,tiny,"['8-[(1R,2R)-2-hydroxy-2-methylcyclopentyl]-6-methyl-2-[(1-methylsulfonylpiperidin-4-yl)amino]pyrido[2,3-d]pyrimidin-7-one', ""N-[4-[3-amino-4-[2-hydroxyethyl(methyl)amino]phenyl]-1,3-thiazol-2-yl]-N'-hydroxyoctanediamide"", '8-cyclopentyl-6-(2-hydroxyethyl)-2-[(1-methylsulfonylpiperidin-4-yl)amino]pyrido[2,3-d]pyrimidin-7-one', '4-amino-5-N-[1-(tert-butylamino)-1-oxohexan-2-yl]-5-N-(furan-2-ylmethyl)-1,2-thiazole-3,5-dicarboxamide', '1-(2,1,3-benzoxadiazol-4-ylsulfonyl)-N-[2-(4-methylpiperidin-1-yl)ethyl]piperidine-3-carboxamide']"
3748,3751,C32H56NO8P,5.322,613.3758,,FBF,83.47,FBF,tiny,"['[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-undecanoyloxypropan-2-yl] (4Z,7Z,10Z,13Z)-hexadeca-4,7,10,13-tetraenoate', '[3-butanoyloxy-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate', '[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-heptanoyloxypropan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate', '[3-hexanoyloxy-2-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate', '[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-propanoyloxypropan-2-yl] (12Z,15Z,18Z,21Z)-tetracosa-12,15,18,21-tetraenoate']"
1058,1061,C4H12N2,21.148,88.1007,,FBF,83.17,FBF,tiny,"['butane-1,4-diamine', '1,2-diethylhydrazine', ""N'-methylpropane-1,3-diamine"", '2-methylpropane-1,2-diamine', 'butane-1,3-diamine']"
647,650,C5H6O2,0.409,98.0363,,FBF,83.16,FBF,tiny,"['furan-2-ylmethanol', '2-methyl-2H-furan-5-one', '5-methyl-3H-furan-2-one', '3-methylideneoxolan-2-one', 'cyclopentane-1,3-dione']"
6180,6187,C38H73NO5,18.291,623.5478,,FBF,82.84,FBF,tiny,"['(Z)-2-hydroxy-N-[(E)-1,3,4-trihydroxypentadec-8-en-2-yl]tricos-11-enamide', '(Z)-2-hydroxy-N-[(E)-1,3,4-trihydroxyhexadec-8-en-2-yl]docos-11-enamide', '(18Z,21Z)-2-hydroxy-N-(1,3,4-trihydroxytetradecan-2-yl)tetracosa-18,21-dienamide', '2-hydroxy-N-[(8E,12E)-1,3,4-trihydroxypentacosa-8,12-dien-2-yl]tridecanamide', '2-hydroxy-N-[(8E,12E)-1,3,4-trihydroxyhexacosa-8,12-dien-2-yl]dodecanamide']"
7333,7340,C26H46O6S,4.515,486.3001,,FBF,82.65,FBF,tiny,"['[(4R)-4-[(3R,5S,6R,7R,8S,9S,10S,13R,14S,17R)-6-ethyl-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentyl] hydrogen sulfate', '[(6R)-6-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]heptyl] hydrogen sulfate', '[(6R)-6-[(3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]heptyl] hydrogen sulfate', 'ethyl 7-[2-acetyloxy-5-(2-acetyloxy-2-methylheptyl)sulfanylcyclopentyl]heptanoate', '3,4-bis[2-(2-hexoxyethoxy)ethoxy]benzenethiol']"
